Country,Net energy imports(% of energy use) year 1990,Net energy imports(% of energy use) year 2015,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,Carbon dioxide emissions (1000 metric tons) year 2015,Carbon dioxide emissions (1000 metric tons) year 2020,Carbon intensity kilograms per kilograms of oil equivalent energy use year 1990,Carbon intensity kilograms per kilograms of oil equivalent energy use year 2014,Per capita metric tons year 2015,Per capita metric tons year 2020
Kuwait,-452.990449872755,-391.05848581964,7.61294777623159,6.17149069914278,89021.7,92308.9,3.21104009376017,2.46703499024831,22.7750200000358,21.1696102506992
Kyrgyz Republic,66.5782905091006,49.5446614839261,3.0257351625567,7.26026299773721,10266.6,9080.1,3.04026805653403,2.55834798696744,1.72348033373063,1.37997537956504
Lao PDR,..,..,..,..,8875.9,19178.9,..,..,1.3076988469402,2.6202834413044
Latvia,85.7086655626555,45.1600877480991,..,11.6790625393302,7315.9,6928.3,2.39101984890231,1.67736099504372,3.69951965257617,3.64561216849281
Lebanon,92.6893717420844,97.8655352175546,10.7702856064698,14.1028125908082,27016.8,21474.9,2.87630604510478,3.32815782994501,4.2220742810528,3.79219353680069
Lesotho,..,..,..,..,2144.2,2311.9,..,..,1.01212119209581,1.02564216316934
Liberia,..,..,..,..,1247.8,1179.5,..,..,0.270535774876424,0.231838923937177
Libya,-555.227701242388,-102.964112042919,..,6.67829637332372,51331.2,44467,3.23169102419085,3.3410331929689,8.28960787179427,6.68280547080212
Liechtenstein,..,..,..,..,159.773794,141.996093,..,..,4.27717290857984,3.66384799772938
Lithuania,69.2750898948441,75.0447083702897,..,12.5062378903656,11067.4,11693.8,2.0057212233007,1.55134723650917,3.80989428243904,4.18400041504391
Luxembourg,99.1500266926205,96.3107486920905,7.98512289450134,17.2840132677302,9133.4,7853.1,3.34063531683063,2.52818732374736,16.0346486330854,12.4569532326913
North Macedonia,49.2637420883106,51.7709987399708,9.16902249851142,11.5054321561699,7142.1,6796.7,3.46764013565376,2.96612027274582,3.44991319788274,3.27942018720106
Madagascar,..,..,..,..,3284.62,2745.45,..,..,0.132173016426922,0.0972695405949093
Malawi,..,..,..,..,1089.52,1640,..,..,0.0643204280409013,0.0846361581872504
Malaysia,-121.529170322741,-5.50502894059521,8.51062014243565,7.95958656312676,236229.4,245139.3,2.57356507602116,2.58274847758805,7.60342044388986,7.38371541222915
Maldives,..,..,..,..,1339.3,1454,3.14360745459354,..,3.07473678893985,2.82638529813116
Mali,..,..,..,..,3343.8,4150.7,..,..,0.184608688158118,0.195565971417317
Malta,100,98.3814861651297,8.22287032483877,20.928605432193,1657.1,1610.7,3.33930666206073,3.03552075973272,3.72337676636266,3.12555789277592
Marshall Islands,..,..,..,..,146.3,110,..,..,2.96093908115766,2.53380323866123
Mauritania,..,..,..,..,2966.5,3847.1,..,..,0.751732037240701,0.855176405836122
Mauritius,55.4593966751404,84.5422889477177,13.0825333587659,17.8550411587148,3960.9,3720.2,1.74076419548182,2.81854962431231,3.13640499208554,2.93851410805884
Mexico,-58.0969234697828,-4.66648531273653,10.8168265687843,13.0179718451094,471632.6,383131.4,2.16444162956533,2.43813846064475,3.92536832553423,3.04076637477226
"Micronesia, Fed. Sts.",..,..,..,..,144.9,107.5,..,..,1.32374705377209,0.958913885073056
Moldova,99.1484648905781,90.011076692694,..,8.80554180768168,8020.6,8611.2,3.08618045189243,2.33528303721278,2.82816016203229,3.26784636811087
Monaco,..,..,..,..,..,..,..,..,..,..
Mongolia,19.5914167532686,-168.093393249747,3.18989574307717,5.9991813482195,17300.6,21184.7,3.80540055875134,3.37127506199741,5.83543497274137,6.43064533509798
Montenegro,..,27.5691369021482,..,11.4900515814375,2359.1,2527.2,..,2.32094242808215,3.79179598784234,4.06756091201437
Morocco,80.9845752554351,90.72183409217,13.3838006134904,13.6520157156851,60362.5,66719.5,2.85227761521239,3.22209026309716,1.74053353043953,1.81852638730999
