Country,_mean
Djibouti,1.68021041154861
Eritrea,1.74050093780864
Austria,2.08601989348729
Iraq,2.28794195977124
Italy,1.90134996506903
Switzerland,2.07189333438873
Iran,2.23707396138099
Netherlands,1.72343428134918
Liechtenstein,2.10851907730103
Ivory Coast,1.57717953346394
Republic of Serbia,2.05489892959595
Mali,2.16749825655857
Senegal,1.79013884812593
Nigeria,1.38989052772522
Benin,1.35491099622515
Angola,1.76832597464034
Croatia,2.07449342310429
Slovenia,2.07729183460229
Qatar,1.98799225267395
Saudi Arabia,2.34910997836547
Botswana,2.10973775157562
Zimbabwe,1.86866113170981
Bulgaria,1.99170247713725
Thailand,1.47814297134226
San Marino,1.96363043785095
Haiti,1.52871867020925
Dominican Republic,1.49138887723287
Chad,1.91014213448479
Kuwait,2.20586797069721
El Salvador,1.83519273996353
Guatemala,1.76481407338923
East Timor,1.28393312709729
Brunei,1.35537990822846
Monaco,1.83449912071228
Algeria,2.34113371760346
Mozambique,1.62854178512798
eSwatini,1.55836917451122
Burundi,1.64934980869293
Rwanda,1.61022524038951
Myanmar,1.33736596471172
Bangladesh,0.905732611815135
Andorra,1.87606763839722
Afghanistan,2.28007229963938
Montenegro,1.9362405538559
Bosnia and Herzegovina,2.01495358943939
Uganda,1.53803829770339
Cuba,1.41152679920197
Cuba,1.44306476910909
Honduras,1.69634820355309
Ecuador,1.59144706130028
Colombia,1.72808255409372
Paraguay,1.92412246357311
Portugal,1.67656289537748
Moldova,2.16015946865082
Turkmenistan,2.14419342060478
Jordan,2.10499469935894
Nepal,1.48484173187843
Lesotho,1.80520409345627
Cameroon,1.47310342015447
Gabon,1.46318441033363
Niger,2.20784522891045
Burkina Faso,1.60416467081417
Togo,1.43782856067022
Ghana,1.4700792491436
Guinea-Bissau,1.67950481176376
United Kingdom,1.70198822021484
United States of America,2.22716778403902
Canada,3.00394844407207
Mexico,1.76318289007459
Belize,1.47023946046829
Panama,1.44101861545018
Venezuela,1.86726510683695
Papua New Guinea,1.30511596328334
Egypt,2.1013566242324
Yemen,1.92242297148093
Mauritania,2.23470918474526
Equatorial Guinea,1.42474899575407
Gambia,1.65792483091354
China,1.2910909202202
Vatican,1.7835910320282
Northern Cyprus,1.60736699084534
Cyprus No Mans Area,1.60016489098201
Kazakhstan,2.50897458061987
United Kingdom,1.51169352306868
Antarctica,1.79567612014846
Australia,1.67855990239552
Denmark,2.70013537609523
Fiji,1.16621573018712
New Zealand,1.28236443201701
France,1.2321994304657
Madagascar,1.47431321705089
Philippines,1.35760417351356
Sri Lanka,1.24990265369415
Netherlands,1.22742802415285
Netherlands,1.23645071122137
The Bahamas,1.32791765986582
United Kingdom,1.33440634366684
Taiwan,1.36950409412384
Japan,1.76875596110885
France,1.83634107225574
Iceland,2.34428880089208
United Kingdom,0.864924474804196
France,1.00559452176094
France,1.14348573040275
Seychelles,1.30664803407452
Kiribati,1.32799814337498
Marshall Islands,1.27823070971568
Trinidad and Tobago,1.30714385425196
Grenada,1.23133945465088
Saint Vincent and the Grenadines,1.23656524029238
Barbados,1.23099994659424
Saint Lucia,1.23531873329364
Dominica,1.24265241622925
United States of America,1.33504945278547
United Kingdom,1.2562940120697
Antigua and Barbuda,1.26492708549546
Saint Kitts and Nevis,1.27069079875946
United States of America,1.29117719100705
France,1.27069079875946
United States of America,1.32556054486472
United Kingdom,1.28609789705512
United Kingdom,1.29680228233337
Jamaica,1.37479206729438
United Kingdom,1.35516015540855
United Kingdom,1.34923446178436
Australia,1.06775293843525
United Kingdom,1.16783596495361
Mauritius,1.1360176102315
Comoros,1.25483657592248
São Tomé and Principe,1.32223390642299
Cabo Verde,1.15019367359608
Malta,1.55812847255053
United Kingdom,1.5413224697113
United Kingdom,1.5413224697113
United Kingdom,1.45720481872559
Finland,2.57826127370854
Denmark,1.68768770375283
Australia,1.2090342031036
United Kingdom,1.28905315375847
Singapore,1.32585111305938
Australia,1.19566212322581
New Zealand,1.02855203913872
Tonga,1.10810252805266
France,1.16829466710691
Samoa,1.17673956786128
Solomon Islands,1.219010875048
Tuvalu,1.24407056704059
Maldives,1.24451755211447
Nauru,1.32558619976044
Federated States of Micronesia,1.24462105388538
United Kingdom,1.05105174199234
United Kingdom,0.89690899848938
Vanuatu,1.18387433371122
New Zealand,1.07317330998371
United States of America,1.15402393974798
Palau,1.23363755583297
United States of America,1.22751522064209
United States of America,1.21659122440823
Bahrain,2.00855651093907
Australia,1.174684882164
Spratly Islands,1.20847641248033
France,1.37079775333405
China,1.28855609893799
Australia,1.28775501251221
Bajo Nuevo Bank (Petrel Is.),1.27119672298431
Serranilla Bank,1.27366971969604
Scarborough Reef,1.23133540153503
